sku_id,category,subcategory,iso_year,iso_week,units_sold,revenue,promo_flag,week_start
SKU00001,Home & Kitchen,Cookware,2024,1,83,3902.71,True,2024-01-01
SKU00001,Home & Kitchen,Cookware,2024,2,24,1027.18,True,2024-01-08
SKU00001,Home & Kitchen,Cookware,2024,3,30,1382.77,True,2024-01-15
SKU00001,Home & Kitchen,Cookware,2024,4,58,2758.8500000000004,True,2024-01-22
SKU00001,Home & Kitchen,Cookware,2024,5,10,481.76,False,2024-01-29
SKU00001,Home & Kitchen,Cookware,2024,6,60,2775.8,True,2024-02-05
SKU00001,Home & Kitchen,Cookware,2024,7,33,1530.77,True,2024-02-12
SKU00001,Home & Kitchen,Cookware,2024,8,30,1392.32,True,2024-02-19
SKU00001,Home & Kitchen,Cookware,2024,9,59,2817.06,True,2024-02-26
SKU00001,Home & Kitchen,Cookware,2024,10,37,1753.68,True,2024-03-04
SKU00001,Home & Kitchen,Cookware,2024,11,67,3049.3599999999997,True,2024-03-11
SKU00001,Home & Kitchen,Cookware,2024,12,60,2762.08,True,2024-03-18
SKU00001,Home & Kitchen,Cookware,2024,13,64,3046.32,True,2024-03-25
SKU00001,Home & Kitchen,Cookware,2024,14,79,3719.11,True,2024-04-01
SKU00001,Home & Kitchen,Cookware,2024,15,58,2606.66,True,2024-04-08
SKU00001,Home & Kitchen,Cookware,2024,16,77,3649.9500000000003,True,2024-04-15
SKU00001,Home & Kitchen,Cookware,2024,17,53,2447.13,True,2024-04-22
SKU00001,Home & Kitchen,Cookware,2024,18,61,2766.8599999999997,True,2024-04-29
SKU00001,Home & Kitchen,Cookware,2024,19,75,3323.6099999999997,True,2024-05-06
SKU00001,Home & Kitchen,Cookware,2024,20,52,2426.2200000000003,True,2024-05-13
SKU00001,Home & Kitchen,Cookware,2024,21,59,2788.44,True,2024-05-20
SKU00001,Home & Kitchen,Cookware,2024,22,76,3453.66,True,2024-05-27
SKU00001,Home & Kitchen,Cookware,2024,23,68,3144.68,True,2024-06-03
SKU00001,Home & Kitchen,Cookware,2024,24,53,2522.6,True,2024-06-10
SKU00001,Home & Kitchen,Cookware,2024,25,60,2767.09,True,2024-06-17
SKU00001,Home & Kitchen,Cookware,2024,26,64,2945.71,True,2024-06-24
SKU00001,Home & Kitchen,Cookware,2024,27,44,2043.07,True,2024-07-01
SKU00001,Home & Kitchen,Cookware,2024,28,54,2513.61,True,2024-07-08
