sku_id,forecast_horizon_units,stock_on_hand,reorder_point,safety_stock,n_stores_carrying,last_restock_date,category,subcategory,unit_price,list_price,weekly_avg_forecast,weeks_of_cover,stockout_risk,overstock_risk,quadrant,rupee_at_risk_stockout,rupee_locked_overstock
SKU00001,194.36646203475442,215.0,100.0,33.0,1.0,2025-12-22,Home & Kitchen,Cookware,619.77,813.41,32.394410339125734,6.6369474779519155,0.0,0.0,Healthy,0.0,0.0
SKU00002,187.0584550863303,0.0,1582.0,573.0,25.0,2025-10-06,Dairy & Bakery,Bread,49.57,70.38,31.17640918105505,0.0,1.0,0.0,Reorder Now,8776.78,0.0
SKU00003,185.28063448935393,414.0,250.0,85.0,4.0,2025-12-13,Stationery & Office,Notebooks,83.67,151.28,30.880105748225656,13.406689840231136,0.0,0.11722415335259469,Healthy,0.0,3634.52
SKU00004,184.44212996072358,148.0,99.0,35.0,1.0,2025-12-03,Dairy & Bakery,Eggs,156.32,233.64,30.74035499345393,4.8145182458535745,0.0,0.0,Healthy,0.0,0.0
SKU00005,200.69591607531595,411.0,284.0,104.0,5.0,2025-12-26,Home Care,Pest Control,83.46,138.5,33.44931934588599,12.28724554153147,0.0,0.023937128460955897,Healthy,0.0,801.9
SKU00006,187.00790925963918,621.0,324.0,130.0,5.0,2025-12-29,Health & Wellness,OTC Medicine,830.81,1413.92,31.16798487660653,19.924290981868975,0.0,0.6603575818224146,Markdown / Clear,0.0,205196.93
SKU00007,196.6243443588691,87.0,163.0,54.0,2.0,2025-12-05,Beverages,Energy Drinks,78.97,129.75,32.77072405981152,2.654808598101521,0.3362978504746198,0.0,Healthy,5719.76,0.0
SKU00008,179.80607109113953,,,,,,,,358.31,492.11,29.96767851518992,,0.0,0.0,Healthy,,
SKU00009,190.09883770656285,85.0,154.0,39.0,2.0,2025-12-29,Frozen Foods,Frozen Vegetables,178.03,251.86,31.683139617760474,2.68281493013249,0.32929626746687746,0.0,Healthy,10510.76,0.0
SKU00010,191.28171199048228,,,,,,,,1096.65,1602.79,31.880285331747046,,0.0,0.0,Healthy,,
SKU00011,191.78824808393804,3.0,35.0,17.0,1.0,2025-11-11,Stationery & Office,Writing Instruments,83.12,123.36,31.964708013989675,0.09385350864731878,0.9765366228381703,0.0,Reorder Now,15402.59,0.0
SKU00012,186.93585912919804,7156.0,1551.0,546.0,27.0,2025-09-01,Health & Wellness,Vitamins & Supplements,526.59,813.52,31.155976521533006,229.6830592054861,0.0,1.0,Markdown / Clear,0.0,3571400.93
SKU00013,187.80552817190022,314.0,145.0,55.0,2.0,2025-12-17,Personal Care,Hair Care,402.76,521.95,31.30092136198337,10.031653585167932,0.0,0.0,Healthy,0.0,0.0
SKU00014,189.24802298384304,33.0,76.0,17.0,1.0,2025-11-28,Personal Care,Men's Grooming,126.47,161.5,31.54133716397384,1.0462460684036006,0.7384384828990999,0.0,Reorder Now,15046.2,0.0
SKU00015,191.1035737447444,79.0,28.0,12.0,1.0,2025-11-05,Home Care,Dishwashing,205.47,277.24,31.850595624124068,2.4803303816448676,0.3799174045887831,0.0,Healthy,13419.08,0.0
SKU00016,188.47262755837147,106.0,56.0,22.0,2.0,2025-11-24,Apparel & Footwear,Men's Wear,2163.92,3478.65,31.412104593061912,3.3744953218897833,0.15637616952755418,0.0,Healthy,68349.97,0.0
SKU00017,189.10690721544205,77.0,55.0,19.0,2.0,2025-12-15,Dairy & Bakery,Eggs,218.27,280.39,31.517817869240343,2.443062534324363,0.3892343664189093,0.0,Healthy,13759.09,0.0
SKU00018,189.68936037797698,148.0,188.0,55.0,3.0,2025-12-20,Snacks & Confectionery,Chips & Crisps,70.86,93.88,31.614893396329496,4.68133794236304,0.0,0.0,Healthy,0.0,0.0
SKU00019,190.36936930593137,120.0,86.0,40.0,1.0,2025-11-25,Personal Care,Hair Care,229.13,394.36,31.72822821765523,3.782121055635429,0.054469736091142695,0.0,Healthy,2726.18,0.0
SKU00020,184.57412818996536,0.0,1358.0,498.0,23.0,2025-10-10,Grocery,Rice & Grains,69.58,109.5,30.76235469832756,0.0,1.0,0.0,Reorder Now,13473.91,0.0
SKU00021,191.31952744181106,252.0,111.0,43.0,2.0,2025-12-22,Beverages,Tea,73.74,116.7,31.88658790696851,7.9030092757252275,0.0,0.0,Healthy,0.0,0.0
SKU00022,186.54443226633902,,,,,,,,147.24,201.01,31.090738711056503,,0.0,0.0,Healthy,,
SKU00023,187.4325819428373,20.0,39.0,13.0,1.0,2025-11-05,Apparel & Footwear,Footwear,1381.64,2028.91,31.238763657139547,0.6402302030742836,0.8399424492314291,0.0,Reorder Now,212944.36,0.0
SKU00024,187.6677385257089,6453.0,1467.0,490.0,25.0,2025-08-29,Electronics & Accessories,Batteries,1671.96,2711.05,31.277956420951483,206.31143266372317,0.0,1.0,Markdown / Clear,0.0,10161611.98
SKU00025,194.80322996377868,213.0,169.0,57.0,3.0,2025-12-30,Electronics & Accessories,Mobile Accessories,1483.61,2441.35,32.467204993963115,6.560466170081619,0.0,0.0,Healthy,0.0,0.0
SKU00026,193.98856934871253,81.0,51.0,24.0,1.0,2025-11-14,Home Care,Laundry,190.99,287.47,32.33142822478542,2.505302253796046,0.37367443655098853,0.0,Healthy,13892.19,0.0
SKU00027,191.88760703008705,204.0,113.0,39.0,2.0,2025-11-21,Electronics & Accessories,Mobile Accessories,435.8,608.24,31.981267838347843,6.37873398362867,0.0,0.0,Healthy,0.0,0.0
SKU00028,200.1155922117601,371.0,247.0,76.0,4.0,2025-12-14,Beverages,Bottled Water,63.96,94.45,33.35259870196001,11.123571009121926,0.0,0.0,Healthy,0.0,0.0
SKU00029,191.06285344191735,,,,,,,,1222.63,1987.18,31.843808906986226,,0.0,0.0,Healthy,,
SKU00030,189.3633864403909,82.0,105.0,44.0,2.0,2025-12-19,Frozen Foods,Frozen Meat,283.65,402.34,31.560564406731817,2.5981791372054657,0.3504552156986336,0.0,Healthy,17800.43,0.0
SKU00031,188.36889765051058,508.0,270.0,76.0,5.0,2025-12-29,Stationery & Office,Office Supplies,121.13,151.46,31.394816275085095,16.181015220756315,0.0,0.34841793506302626,Healthy,0.0,15899.79
SKU00032,192.5212600248633,5246.0,1272.0,440.0,20.0,2025-12-10,Beverages,Coffee,30.84,51.91,32.08687667081055,163.49363179908033,0.0,1.0,Markdown / Clear,0.0,149911.93
SKU00033,194.93939877610805,136.0,64.0,18.0,1.0,2025-12-24,Home Care,Air Fresheners,112.21,164.5,32.48989979601801,4.185916264865436,0.0,0.0,Healthy,0.0,0.0
SKU00034,185.31441860166734,136.0,113.0,49.0,2.0,2025-12-24,Electronics & Accessories,Small Appliances,1355.55,2105.17,30.885736433611225,4.403327092178342,0.0,0.0,Healthy,0.0,0.0
SKU00035,187.17701567695718,594.0,298.0,113.0,6.0,2025-12-28,Home Care,Air Fresheners,130.18,215.32,31.196169279492864,19.04079935835174,0.0,0.5867332798626451,Markdown / Clear,0.0,28593.51
SKU00036,188.94898772921803,134.0,85.0,25.0,1.0,2025-11-25,Home Care,Air Fresheners,145.16,188.79,31.491497954869672,4.255116736334195,0.0,0.0,Healthy,0.0,0.0
SKU00037,191.61317605846318,334.0,143.0,61.0,2.0,2025-12-23,Beverages,Energy Drinks,86.73,109.86,31.935529343077196,10.458570966897176,0.0,0.0,Healthy,0.0,0.0
SKU00038,179.89098770804657,18.0,49.0,24.0,1.0,2025-11-30,Personal Care,Skin Care,240.69,377.52,29.981831284674428,0.6003635945080151,0.8499091013729962,0.0,Reorder Now,38479.6,0.0
SKU00039,195.79551251707704,290.0,179.0,56.0,3.0,2025-11-21,Snacks & Confectionery,Candy,79.49,124.83,32.63258541951284,8.886822673467755,0.0,0.0,Healthy,0.0,0.0
SKU00040,191.66025560115793,101.0,84.0,35.0,1.0,2025-11-04,Dairy & Bakery,Cheese,118.43,206.7,31.943375933526323,3.1618448911029144,0.2095387772242714,0.0,Healthy,5534.08,0.0
SKU00041,185.04596694908014,123.0,115.0,46.0,2.0,2025-12-14,Electronics & Accessories,Small Appliances,1754.57,2490.74,30.840994491513356,3.988198241591931,0.0029504396020172408,0.0,Healthy,906.57,0.0
SKU00042,189.35111264411063,,,,,,,,617.92,1110.09,31.558518774018438,,0.0,0.0,Healthy,,
SKU00043,190.18741392081142,107.0,68.0,26.0,1.0,2025-12-23,Health & Wellness,First Aid,414.79,615.37,31.69790232013524,3.375617696065368,0.15609557598365797,0.0,Healthy,12179.16,0.0
SKU00044,176.03172994566197,316.0,135.0,50.0,3.0,2025-12-12,Personal Care,Skin Care,309.26,525.77,29.33862165761033,10.770785474784933,0.0,0.0,Healthy,0.0,0.0
SKU00045,193.60923052197526,90.0,109.0,40.0,2.0,2025-11-27,Stationery & Office,Writing Instruments,253.27,352.71,32.26820508699588,2.7891232176490073,0.3027191955877482,0.0,Healthy,13781.37,0.0
SKU00046,210.30181911527774,324.0,244.0,97.0,4.0,2025-11-30,Beverages,Bottled Water,120.46,154.0,35.05030318587962,9.24385727226824,0.0,0.0,Healthy,0.0,0.0
SKU00047,189.48533175693944,291.0,160.0,67.0,4.0,2025-12-20,Personal Care,Men's Grooming,165.62,289.44,31.580888626156575,9.214433559636507,0.0,0.0,Healthy,0.0,0.0
SKU00048,193.97587073358415,332.0,173.0,82.0,2.0,2025-11-18,Beverages,Energy Drinks,83.14,111.68,32.32931178893069,10.269318510939485,0.0,0.0,Healthy,0.0,0.0
SKU00049,184.50751611746665,50.0,35.0,7.0,1.0,2025-12-29,Personal Care,Oral Care,442.65,584.25,30.75125268624444,1.6259500225942292,0.5935124943514427,0.0,Reorder Now,42653.18,0.0
SKU00050,185.97073627178784,48.0,1066.0,370.0,18.0,2025-12-04,Stationery & Office,Office Supplies,20.25,34.08,30.99512271196464,1.5486307457486268,0.6128423135628434,0.0,Reorder Now,2589.42,0.0
SKU00051,187.79401935051382,123.0,71.0,24.0,1.0,2025-11-25,Personal Care,Oral Care,262.89,336.75,31.299003225085638,3.929837609058985,0.017540597735253738,0.0,Healthy,739.51,0.0
SKU00052,195.71073579695144,5399.0,1299.0,466.0,22.0,2025-11-12,Home & Kitchen,Storage & Containers,967.68,1372.15,32.61845596615857,165.51979056278526,0.0,1.0,Markdown / Clear,0.0,4845733.59
SKU00053,190.6853054023894,60.0,27.0,9.0,1.0,2025-12-06,Home Care,Pest Control,220.18,322.02,31.780884233731566,1.8879273326296333,0.5280181668425916,0.0,Reorder Now,21615.12,0.0
SKU00054,180.768058787692,,,,,,,,1493.11,2079.97,30.128009797948668,,0.0,0.0,Healthy,,
SKU00055,186.56456230848667,,,,,,,,254.65,409.38,31.094093718081112,,0.0,0.0,Healthy,,
SKU00056,184.1944418755476,113.0,189.0,59.0,3.0,2025-12-20,Dairy & Bakery,Butter & Ghee,44.4,79.8,30.6990736459246,3.680892827689643,0.07977679307758923,0.0,Healthy,781.74,0.0
SKU00057,191.6906781703819,30.0,31.0,15.0,1.0,2025-12-01,Apparel & Footwear,Kids Wear,1510.65,2287.08,31.948446361730316,0.939012797690711,0.7652468005773223,0.0,Reorder Now,223662.21,0.0
SKU00058,187.2769422838259,149.0,93.0,29.0,1.0,2025-12-21,Stationery & Office,Office Supplies,69.93,95.03,31.21282371397098,4.773678964947571,0.0,0.0,Healthy,0.0,0.0
SKU00059,181.37784274757428,601.0,233.0,53.0,3.0,2025-12-26,Dairy & Bakery,Butter & Ghee,95.47,122.45,30.229640457929047,19.88114945781174,0.0,0.6567624548176451,Markdown / Clear,0.0,22745.18
SKU00060,198.54051845189719,253.0,148.0,49.0,2.0,2025-12-22,Apparel & Footwear,Men's Wear,476.15,724.16,33.09008640864953,7.645794479819413,0.0,0.0,Healthy,0.0,0.0
SKU00061,187.24325218683316,296.0,177.0,68.0,3.0,2025-12-27,Dairy & Bakery,Milk,153.89,249.85,31.207208697805527,9.484987999609672,0.0,0.0,Healthy,0.0,0.0
SKU00062,191.30336520027464,228.0,1221.0,427.0,20.0,2025-11-18,Electronics & Accessories,Mobile Accessories,291.09,499.45,31.883894200045773,7.150945821406993,0.0,0.0,Healthy,0.0,0.0
SKU00063,190.36298422703277,84.0,82.0,39.0,1.0,2025-12-18,Apparel & Footwear,Women's Wear,1264.03,1612.54,31.727164037838794,2.6475735398165123,0.3381066150458719,0.0,Healthy,69191.92,0.0
SKU00064,203.4651629346439,409.0,269.0,81.0,3.0,2025-12-31,Home Care,Air Fresheners,130.58,214.86,33.910860489107314,12.061032781264192,0.0,0.0050860651053493315,Healthy,0.0,270.26
SKU00065,184.38504013308417,215.0,76.0,33.0,1.0,2025-11-27,Electronics & Accessories,Small Appliances,749.86,964.12,30.730840022180697,6.996229190117119,0.0,0.0,Healthy,0.0,0.0
SKU00066,184.09459254368488,5315.0,1296.0,457.0,25.0,2025-12-20,Dairy & Bakery,Cheese,132.45,222.25,30.682432090614146,173.22616356823536,0.0,1.0,Markdown / Clear,0.0,655205.09
SKU00067,188.75064389973807,204.0,140.0,55.0,2.0,2025-11-13,Grocery,Spices & Seasoning,273.09,492.46,31.458440649956344,6.484746089926841,0.0,0.0,Healthy,0.0,0.0
SKU00068,210.49012179969714,8.0,99.0,39.0,1.0,2025-12-07,Beverages,Tea,161.78,266.94,35.08168696661619,0.22803920483107948,0.9429901987922301,0.0,Reorder Now,35323.3,0.0
SKU00069,191.44510570222883,7735.0,1614.0,563.0,27.0,2025-09-02,Home Care,Laundry,174.28,258.89,31.90751761703814,242.41936000278585,0.0,1.0,Markdown / Clear,0.0,1281325.69
SKU00070,186.07978682125807,378.0,193.0,67.0,4.0,2025-12-26,Home & Kitchen,Storage & Containers,470.84,738.95,31.01329780354301,12.188320068200444,0.0,0.01569333901670363,Healthy,0.0,2749.91
SKU00071,193.7258201190591,285.0,142.0,42.0,2.0,2025-11-28,Beverages,Juices,212.25,273.19,32.28763668650985,8.826908044312711,0.0,0.0,Healthy,0.0,0.0
SKU00072,188.68294347963962,,,,,,,,224.58,327.25,31.447157246606604,,0.0,0.0,Healthy,,
